Día;Disponibilidad
1;28,266666666666666
2;29,666666666666668
3;31,4
4;31,333333333333332
5;24,4
6;4,8
7;0,0
8;0,0
9;0,0
10;0,0
11;0,0
12;0,06666666666666667
13;0,2
14;0,0
15;2,6
16;2,3333333333333335
17;7,2
18;8,733333333333333
19;5,2
20;1,3333333333333333
21;0,2
22;0,6
23;0,5333333333333333
24;1,8
25;1,8
26;0,9333333333333333
27;0,13333333333333333
28;0,26666666666666666
29;1,4
30;2,8
31;1,8
32;1,0666666666666667
33;0,7333333333333333
34;1,2666666666666666
35;2,0
36;3,7333333333333334
37;2,6666666666666665
38;3,8
39;2,2666666666666666
40;2,2
41;2,6
42;2,4
43;3,933333333333333
44;2,3333333333333335
45;0,3333333333333333
46;0,6666666666666666
47;0,7333333333333333
48;0,7333333333333333
49;1,3333333333333333
50;4,0
51;5,933333333333334
52;4,266666666666667
53;2,3333333333333335
54;5,933333333333334
55;5,666666666666667
56;5,933333333333334
57;4,0
58;1,0666666666666667
59;1,8
60;0,6666666666666666
61;0,5333333333333333
62;0,4
63;0,5333333333333333
64;1,4
65;2,0
66;0,9333333333333333
67;3,933333333333333
68;5,2
69;2,466666666666667
70;3,3333333333333335
71;3,1333333333333333
72;2,6
73;1,8
74;3,1333333333333333
75;2,933333333333333
76;3,933333333333333
77;5,4
78;5,6
79;1,2
80;3,4
81;3,066666666666667
82;1,5333333333333334
83;0,0
84;0,4666666666666667
85;2,2666666666666666
86;3,2
87;1,4666666666666666
88;0,13333333333333333
89;2,7333333333333334
90;4,266666666666667
91;4,066666666666666
92;3,2
93;5,133333333333334
94;6,466666666666667
95;2,533333333333333
96;1,6666666666666667
97;1,7333333333333334
98;0,6
99;1,4
100;1,8
